Rank,Change,Player,School,Position,Height,Weight,Position2,Date
315,-9,Troy Pride Jr.,Notre Dame,CB,"5'11""",192,SR,2020-01-03
316,-9,Shaq Smith,Maryland,ILB,"6'2""",250,RJR,2020-01-03
317,-9,Logan Wilson,Wyoming,ILB,"6'2""",250,RSR,2020-01-03
318,-9,Javahn Ferguson,New Mexico State,ILB,"6'1""",230,SR,2020-01-03
319,-9,Tra Minter,South Alabama,RBC,"5'9""",200,JR,2020-01-03
320,-9,Sean Adesanya,Central Michigan,EDGE,"6'3""",240,SR,2020-01-03
321,-9,Jalen Elliott,Notre Dame,S,"6'0""",207,SR,2020-01-03
322,-9,Dicaprio Bootle,Nebraska,CB,"5'10""",190,JR,2020-01-03
323,-9,Rodney Smith,Minnesota,RBF,"5'11""",210,SR,2020-01-03
324,-9,James Gilbert,Kansas State,RBC,"5'9""",198,JR,2020-01-03
325,-9,Bryan London II,Texas State,OLB,"6'2""",232,SR,2020-01-03
326,-9,Tyler Coyle,Connecticut,S,"6'0""",207,RJR,2020-01-03
327,-9,Chase Allen,Iowa State,TE,"6'6""",240,SR,2020-01-03
328,-9,Cedric Byrd II,Hawaii,WRS,"5'9""",175,SR,2020-01-03
329,-9,Garrett Marino,UAB,DL3T,"6'2""",290,SR,2020-01-03
330,-9,Rodrigo Blankenship,Georgia,PK,"6'1""",191,SR,2020-01-03
331,-9,Cheyenne O'Grady,Arkansas,TE,"6'4""",256,SR,2020-01-03
332,-9,Jake Verity,East Carolina,PK,"6'1""",185,SR,2020-01-03
333,-9,Patrick Queen,LSU,ILB,"6'2""",232,JR,2020-01-03
334,-9,Larry Rountree III,Missouri,RBF,"5'10""",210,JR,2020-01-03
335,-9,Rashad Robinson,James Madison,CB,"5'11""",185,SR,2020-01-03
